iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,140,0.003553295135498047,0.0006535280551457694,0.00380098819732666,0.001166797503693219,gini,2,sqrt,5,best,"{'criterion': 'gini', 'max_depth': 2, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'splitter': 'best'}",0.41581632653061223,0.29999999999999993,0.6543456543456543,0.6311688311688312,0.41666666666666663,0.34920634920634924,0.5,0.47435897435897434,0.4205128205128205,0.5974358974358974,0.47595115202258054,0.11335072158834598,273,0.6172812505771583,0.5498682877406281,0.5466538461538462,0.5183970239479191,0.6688089984858316,0.489651529429743,0.6137690895692369,0.5155681320147106,0.5803069250298991,0.5819909636667416,0.5682296046615715,0.052120093828580426
0,140,0.004198837280273438,0.0014699176895198102,0.003800654411315918,0.000599912242217935,gini,2,sqrt,5,random,"{'criterion': 'gini', 'max_depth': 2, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'splitter': 'random'}",0.3154761904761904,0.22077922077922077,0.4238095238095238,0.49513343799058085,0.20604395604395603,0.2285714285714286,0.38831168831168833,0.3245984784446323,0.20512820512820512,0.5134032634032634,0.33212553929586897,0.1124616499653417,316,0.3709146085552865,0.2882698936560323,0.3939997029114676,0.5234753812636166,0.43681300813008134,0.3455079921691801,0.4561658664959636,0.34671646436352316,0.3006361058092389,0.6012991055007861,0.40637981288551767,0.09429610778621013
0,140,0.004900169372558594,0.003804751778163109,0.003299856185913086,0.0004574392231879273,gini,2,sqrt,10,best,"{'criterion': 'gini', 'max_depth': 2, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'splitter': 'best'}",0.40119047619047615,0.42142857142857143,0.8246753246753247,0.6428571428571429,0.3957946815089671,0.46085343228200376,0.4857142857142857,0.5752913752913753,0.29650349650349656,0.6245421245421245,0.5128850910993767,0.14672573328757527,262,0.46284491978609626,0.6704482983682984,0.40743395399780946,0.5279775596072932,0.6823412070282658,0.42239866555462885,0.4608749180202852,0.6921510564367708,0.4904647272812343,0.5532555299997161,0.5370190836080398,0.10331039150245468
0,140,0.003300642967224121,0.0006398556230231002,0.0031003713607788085,0.0005391241136079506,gini,2,sqrt,10,random,"{'criterion': 'gini', 'max_depth': 2, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'splitter': 'random'}",0.18796992481203006,0.3847402597402597,0.33749999999999997,0.3200371057513915,0.4166666666666666,0.2574568288854003,0.3095238095238095,0.5214990138067062,0.3675213675213675,0.37692307692307697,0.3479838053630708,0.08576990883940958,310,0.12250000000000001,0.37301747040688155,0.4458443079137368,0.5208005293728403,0.3446612758310872,0.2638364444444444,0.3951188408459436,0.4240085432745983,0.3903698640540746,0.16666666666666666,0.3446823942810273,0.11856167526865719
0,140,0.003500628471374512,0.0006705074575084154,0.0031999826431274416,0.0004001064992262462,gini,2,sqrt,20,best,"{'criterion': 'gini', 'max_depth': 2, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'splitter': 'best'}",0.40119047619047615,0.39387755102040817,0.4217687074829932,0.7339089481946626,0.29081632653061223,0.4761904761904762,0.42653061224489797,0.423076923076923,0.3692307692307692,0.5974358974358974,0.4534026687598116,0.11932295410186143,282,0.46284491978609626,0.48996969696969694,0.5831926825611036,0.742486520725651,0.4873466590519703,0.6338324560066928,0.537617094017094,0.498577320095401,0.4904647272812343,0.5118537326297908,0.5438185809124731,0.08229270763531119
0,140,0.003500819206237793,0.0004984699887102086,0.003098893165588379,0.0002996457573461175,gini,2,sqrt,20,random,"{'criterion': 'gini', 'max_depth': 2, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'splitter': 'random'}",0.18796992481203006,0.2714285714285714,0.18796992481203006,0.126984126984127,0.28257456828885397,0.2857142857142857,0.325,0.3205128205128205,0.1641025641025641,0.3505917159763313,0.2502848502631614,0.07329220362564497,355,0.12250000000000001,0.3491555132174327,0.12250000000000001,0.11027848101265823,0.286658638258453,0.225734906315059,0.37996403609515994,0.346492373362301,0.3661418503523767,0.26471295588942645,0.2574138754502867,0.10156586187180898
0,140,0.0036997079849243166,0.0007803811083569608,0.0034001827239990234,0.0006635594792490861,gini,2,sqrt,50,best,"{'criterion': 'gini', 'max_depth': 2, 'max_features': 'sqrt', 'min_samples_leaf': 50, 'splitter': 'best'}",0.3650793650793651,0.2346938775510204,0.336734693877551,0.44557823129251695,0.2285714285714286,0.3059163059163059,0.2126623376623376,0.3205128205128205,0.14529914529914528,0.46153846153846156,0.3056586667300953,0.09692016457826257,322,0.3169555822328931,0.32272914714151824,0.2766868686868687,0.3032,0.24054054054054055,0.28342771084337354,0.24965773195876292,0.362388580624262,0.2462696034124606,0.28317368764376694,0.28850294530844467,0.03666449598776161
0,140,0.0035074234008789064,0.0009199954306429793,0.0031933307647705076,0.0004037400351830416,gini,2,sqrt,50,random,"{'criterion': 'gini', 'max_depth': 2, 'max_features': 'sqrt', 'min_samples_leaf': 50, 'splitter': 'random'}",0.18796992481203006,0.07563025210084033,0.18796992481203006,0.126984126984127,0.07563025210084033,0.126984126984127,0.07563025210084033,0.2958579881656805,0.04102564102564103,0.5186813186813187,0.17123638077674755,0.13605201545542792,375,0.12250000000000001,0.12879503105590062,0.12250000000000001,0.11027848101265823,0.08737662337662339,0.11027848101265823,0.08737662337662339,0.33687613410143924,0.09715903346476594,0.3107812822098536,0.15139216896105226,0.08746840575581019
0,140,0.0038959503173828123,0.0009315416619289626,0.003397822380065918,0.0006641199506846453,gini,2,sqrt,100,best,"{'criterion': 'gini', 'max_depth': 2, 'max_features': 'sqrt', 'min_samples_leaf': 100, 'splitter': 'best'}",0.18796992481203006,0.07563025210084033,0.18796992481203006,0.126984126984127,0.07563025210084033,0.126984126984127,0.07563025210084033,0.21367521367521367,0.04102564102564103,0.37692307692307697,0.1488422791518767,0.0937795781738504,383,0.12250000000000001,0.12879503105590062,0.12250000000000001,0.11027848101265823,0.08737662337662339,0.11027848101265823,0.08737662337662339,0.1597756867217945,0.09715903346476594,0.16666666666666666,0.11927066266876911,0.025852874682600828
0,140,0.0038008928298950196,0.000980281004391358,0.0036997079849243166,0.0010041512635005335,gini,2,sqrt,100,random,"{'criterion': 'gini', 'max_depth': 2, 'max_features': 'sqrt', 'min_samples_leaf': 100, 'splitter': 'random'}",0.18796992481203006,0.07563025210084033,0.18796992481203006,0.126984126984127,0.07563025210084033,0.126984126984127,0.07563025210084033,0.21367521367521367,0.04102564102564103,0.37692307692307697,0.1488422791518767,0.0937795781738504,383,0.12250000000000001,0.12879503105590062,0.12250000000000001,0.11027848101265823,0.08737662337662339,0.11027848101265823,0.08737662337662339,0.1597756867217945,0.09715903346476594,0.16666666666666666,0.11927066266876911,0.025852874682600828
