number,value,datetime_start,datetime_complete,duration,params_clf_name,params_dt_criterion,params_dt_max_depth,params_dt_max_features,params_dt_min_samples_leaf,params_dt_splitter,params_rf_bootstrap,params_rf_class_weight,params_rf_max_depth,params_rf_max_features,params_svm_C,params_svm_loss,state
34,0.9089926640196608,2022-02-07 00:54:39.475965,2022-02-07 00:54:39.797214,0 days 00:00:00.321249,svm,,,,,,,,,,0.20116357859613668,hinge,COMPLETE
35,0.9089926640196608,2022-02-07 00:54:39.838576,2022-02-07 00:54:40.172709,0 days 00:00:00.334133,svm,,,,,,,,,,0.18354037459154,hinge,COMPLETE
36,0.9089926640196608,2022-02-07 00:54:40.215698,2022-02-07 00:54:40.539601,0 days 00:00:00.323903,svm,,,,,,,,,,0.6277464242948341,hinge,COMPLETE
37,0.9089926640196608,2022-02-07 00:54:40.588604,2022-02-07 00:54:40.905856,0 days 00:00:00.317252,svm,,,,,,,,,,0.12469486105906341,hinge,COMPLETE
38,0.7961617239761294,2022-02-07 00:54:40.937854,2022-02-07 00:54:41.065858,0 days 00:00:00.128004,dt,gini,10.0,log2,50.0,random,,,,,,,COMPLETE
39,0.90284575097534,2022-02-07 00:54:41.105855,2022-02-07 00:54:41.470362,0 days 00:00:00.364507,rf,,,,,,False,balanced_subsample,10.0,sqrt,,,COMPLETE
40,0.9089926640196608,2022-02-07 00:54:41.513416,2022-02-07 00:54:41.854600,0 days 00:00:00.341184,svm,,,,,,,,,,0.7995123773228632,hinge,COMPLETE
41,0.9089926640196608,2022-02-07 00:54:41.923065,2022-02-07 00:54:42.302260,0 days 00:00:00.379195,svm,,,,,,,,,,0.44182978755188496,hinge,COMPLETE
42,0.9089926640196608,2022-02-07 00:54:42.334034,2022-02-07 00:54:42.670934,0 days 00:00:00.336900,svm,,,,,,,,,,1.682274137519482,hinge,COMPLETE
43,0.9089926640196608,2022-02-07 00:54:42.706574,2022-02-07 00:54:43.054615,0 days 00:00:00.348041,svm,,,,,,,,,,1.9985450745119224,hinge,COMPLETE
44,0.9089926640196608,2022-02-07 00:54:43.085711,2022-02-07 00:54:43.391523,0 days 00:00:00.305812,svm,,,,,,,,,,0.415426290774835,hinge,COMPLETE
45,0.9089926640196608,2022-02-07 00:54:43.426924,2022-02-07 00:54:43.740619,0 days 00:00:00.313695,svm,,,,,,,,,,1.922931707066227,squared_hinge,COMPLETE
46,0.9089926640196608,2022-02-07 00:54:43.776708,2022-02-07 00:54:44.107118,0 days 00:00:00.330410,svm,,,,,,,,,,0.39618743784586974,hinge,COMPLETE
47,0.9089926640196608,2022-02-07 00:54:44.145097,2022-02-07 00:54:44.472165,0 days 00:00:00.327068,svm,,,,,,,,,,2.1746603052527176,squared_hinge,COMPLETE
48,0.895578327734162,2022-02-07 00:54:44.505482,2022-02-07 00:54:45.041396,0 days 00:00:00.535914,rf,,,,,,False,balanced_subsample,30.0,sqrt,,,COMPLETE
49,0.3284302532005625,2022-02-07 00:54:45.079001,2022-02-07 00:54:45.169497,0 days 00:00:00.090496,dt,gini,2.0,sqrt,20.0,random,,,,,,,COMPLETE
50,0.9089926640196608,2022-02-07 00:54:45.214348,2022-02-07 00:54:45.537126,0 days 00:00:00.322778,svm,,,,,,,,,,0.30690612545567547,hinge,COMPLETE
51,0.9089926640196608,2022-02-07 00:54:45.610202,2022-02-07 00:54:45.905665,0 days 00:00:00.295463,svm,,,,,,,,,,0.24164335849124327,hinge,COMPLETE
52,0.9089926640196608,2022-02-07 00:54:45.938900,2022-02-07 00:54:46.240208,0 days 00:00:00.301308,svm,,,,,,,,,,0.32029093180481816,hinge,COMPLETE
53,0.9089926640196608,2022-02-07 00:54:46.273062,2022-02-07 00:54:46.548379,0 days 00:00:00.275317,svm,,,,,,,,,,0.24184520032472884,hinge,COMPLETE
54,0.9089926640196608,2022-02-07 00:54:46.581629,2022-02-07 00:54:46.888802,0 days 00:00:00.307173,svm,,,,,,,,,,0.13970437814524042,hinge,COMPLETE
