mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.014199590682983399,0.0049544494938093325,0.004402756690979004,0.0006626114999848521,gini,2,sqrt,5,best,"{'criterion': 'gini', 'max_depth': 2, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'splitter': 'best'}",0.5606125922842234,0.5337715028581093,0.5639496078122148,0.5887578337947295,0.48206474931010046,0.5777103847810967,0.5135123836915118,0.48859832079152093,0.5652032780256032,0.4943382600628433,0.5368518913411953,0.03762707785635295,205
0.008799195289611816,0.005094252063761839,0.0043000936508178714,0.0008999348359463433,gini,2,sqrt,5,random,"{'criterion': 'gini', 'max_depth': 2, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'splitter': 'random'}",0.2098401382634595,0.31022534364433163,0.3760358759079971,0.17423202660608147,0.22428017942183734,0.3384643327599181,0.3030310959939523,0.24170539059424567,0.18700392913632893,0.29028618734832673,0.26551044996764783,0.0643583876444817,297
0.01129927635192871,0.001006737491829563,0.0036012411117553713,0.0004909489544007238,gini,2,sqrt,10,best,"{'criterion': 'gini', 'max_depth': 2, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'splitter': 'best'}",0.5523556539858424,0.4667081496842873,0.5221487196951221,0.4833363297527597,0.5277682789609628,0.49843655886218236,0.5557019520872617,0.47054198583561907,0.5418884884444267,0.5367858198095822,0.5155671937118045,0.031695703216792784,211
0.006600499153137207,0.0014275399986269314,0.0038995265960693358,0.0005407484412396588,gini,2,sqrt,10,random,"{'criterion': 'gini', 'max_depth': 2, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'splitter': 'random'}",0.26953807298971577,0.3038737362203425,0.2512934589990391,0.22130214840072615,0.32610255094116014,0.3218301303059369,0.24746603167281028,0.38600460175350615,0.3239766153195676,0.33284695133200076,0.2984234297934806,0.04738361053753102,286
0.012699627876281738,0.0021465019092836097,0.004100871086120605,0.0013749011399483465,gini,2,sqrt,20,best,"{'criterion': 'gini', 'max_depth': 2, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'splitter': 'best'}",0.4121857242166006,0.47406453875452115,0.4935471148759426,0.41562982657943137,0.48902770933499307,0.4593336718608821,0.50115472658705,0.3901321726450772,0.3924702353364199,0.5037554903299776,0.4531301210520896,0.04358815645225573,248
0.005999612808227539,0.0021442286268207973,0.0042007207870483395,0.0012479444069247324,gini,2,sqrt,20,random,"{'criterion': 'gini', 'max_depth': 2, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'splitter': 'random'}",0.32701787837644497,0.10747252420814064,0.19168270975307183,0.25173683312380146,0.2474510270027553,0.2157925085527462,0.38364743508046956,0.38000584316960256,0.24715163275264593,0.42615853267274734,0.27781169246924253,0.0942839345922138,291
0.010699105262756348,0.0019504443217289794,0.003800177574157715,0.00040020126906345477,gini,2,sqrt,50,best,"{'criterion': 'gini', 'max_depth': 2, 'max_features': 'sqrt', 'min_samples_leaf': 50, 'splitter': 'best'}",0.48644117679251886,0.5338376537926188,0.5179248099959255,0.5596212151609099,0.5541771951520119,0.4643326420475048,0.3944528234918289,0.5609996959035649,0.5549832109822725,0.5245564412576469,0.5151326864576803,0.05060583482320608,212
0.005700469017028809,0.001186490188252915,0.0037004709243774413,0.0006398699435295585,gini,2,sqrt,50,random,"{'criterion': 'gini', 'max_depth': 2, 'max_features': 'sqrt', 'min_samples_leaf': 50, 'splitter': 'random'}",0.2778892994915624,0.24084961511493255,0.3856319719838442,0.25238955967357074,0.29343962138895435,0.13256372662582155,0.2669017491643406,0.30402122763667117,0.18762225739102006,0.4149348828119271,0.2756243911282645,0.0791668678767741,293
0.011499619483947754,0.0026168018272771836,0.004100275039672851,0.001135902202052881,gini,2,sqrt,100,best,"{'criterion': 'gini', 'max_depth': 2, 'max_features': 'sqrt', 'min_samples_leaf': 100, 'splitter': 'best'}",0.4881940733559455,0.48708612700679466,0.5276629755703406,0.488291261438486,0.4926035698898259,0.4563327631588222,0.48583730891394256,0.48280456846736325,0.4713975156524278,0.5521282918120473,0.49323384552659955,0.02596908678860959,230
0.005299854278564453,0.000780084654590061,0.0035995721817016603,0.0004900716140369946,gini,2,sqrt,100,random,"{'criterion': 'gini', 'max_depth': 2, 'max_features': 'sqrt', 'min_samples_leaf': 100, 'splitter': 'random'}",0.24288567939145922,0.10747252420814064,0.2821060632851037,0.25165898975814827,0.3865660964321187,0.39979477652902157,0.28920926738348324,0.2344533462329564,0.10767507002801122,0.32713638469367895,0.2628958197942122,0.09423877714385291,298
0.010399127006530761,0.0014953307935473442,0.003699374198913574,0.00045861646631953286,gini,2,auto,5,best,"{'criterion': 'gini', 'max_depth': 2, 'max_features': 'auto', 'min_samples_leaf': 5, 'splitter': 'best'}",0.543143671444043,0.4824821579134,0.5702313670449898,0.4833363297527597,0.5254223361234268,0.4720795835683445,0.5724177710144281,0.5203940289189403,0.5549832109822725,0.5670424954783414,0.5291532952240947,0.03671943935811934,206
