mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_class_weight,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.713895058631897,0.3961442126956969,0.05550615787506104,0.0019615727875734136,True,balanced,30,sqrt,2,10,200,"OrderedDict([('bootstrap', True), ('class_weight', 'balanced'), ('max_depth', 30), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 10), ('n_estimators', 200)])",0.9265112940985372,0.9001497164692407,0.9221888953113679,0.9133206286814588,0.9094224781803323,0.8955584577464492,0.9135551518312336,0.9014433378660935,0.9108206485131566,0.8956667566966576,0.9088637365394527,0.010085624863060276,2
0.8777227401733398,0.017084139620754623,0.05620076656341553,0.002039581832661436,False,balanced,50,sqrt,1,10,200,"OrderedDict([('bootstrap', False), ('class_weight', 'balanced'), ('max_depth', 50), ('max_features', 'sqrt'), ('min_samples_leaf', 1), ('min_samples_split', 10), ('n_estimators', 200)])",0.9231258740746566,0.900067213038012,0.918074952032799,0.9090579677632432,0.9094892422157855,0.8956527950595712,0.9147185874747521,0.8976387917724158,0.9149735576366433,0.895660787732582,0.9078459768800462,0.00949820998843774,6
0.5905591487884522,0.017270858997820222,0.05944004058837891,0.0022853848567452135,True,balanced,50,sqrt,2,10,200,"OrderedDict([('bootstrap', True), ('class_weight', 'balanced'), ('max_depth', 50), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 10), ('n_estimators', 200)])",0.9254107126028523,0.899153323503093,0.9169402107897504,0.9112540203922601,0.9095560656565969,0.8945479833170745,0.9167115283721917,0.9005006311325866,0.9130217380954485,0.8935741032096676,0.9080670317071522,0.01010297673173508,5
2.915851330757141,0.22724357899001704,0.1840378999710083,0.008271960030465033,False,balanced,40,sqrt,2,2,600,"OrderedDict([('bootstrap', False), ('class_weight', 'balanced'), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 2), ('n_estimators', 600)])",0.9262745991277439,0.8993456437533482,0.9097429059581539,0.903739248358442,0.9053386264514148,0.8914661337272262,0.9115764212949446,0.8924652823442809,0.9118619438079076,0.8933659943749594,0.9045176799198422,0.010355789034492142,17
0.7374000072479248,0.08254894041617986,0.08577938079833984,0.016306742933305477,True,balanced,30,auto,2,5,200,"OrderedDict([('bootstrap', True), ('class_weight', 'balanced'), ('max_depth', 30), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 5), ('n_estimators', 200)])",0.9199705465822215,0.900137997395951,0.9157869620191439,0.9111553762662881,0.9084914550375205,0.8945838993705449,0.9104529147640329,0.8962956260536556,0.9148699625382739,0.8912286760071358,0.9062973416034769,0.009478522719074399,10
1.2714077234268188,0.05971721596140136,0.1352996826171875,0.0039052476446147454,True,balanced,40,sqrt,2,2,400,"OrderedDict([('bootstrap', True), ('class_weight', 'balanced'), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 2), ('n_estimators', 400)])",0.9232683906354641,0.9032362254272726,0.9221472317873487,0.9090366892749886,0.911607391266479,0.8914089421552749,0.9125839245965879,0.8973111866267084,0.91291086107757,0.8924024190366875,0.9075913261884381,0.010706571376753616,7
1.7373012065887452,0.1473548217276882,0.1746898412704468,0.015684506045394047,True,balanced,10,auto,2,5,600,"OrderedDict([('bootstrap', True), ('class_weight', 'balanced'), ('max_depth', 10), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 5), ('n_estimators', 600)])",0.918208319659307,0.8972511334653807,0.9169819158667444,0.907083270294822,0.9097199156948914,0.8958104636067113,0.9048935992951169,0.895319936761619,0.9109460127374133,0.894861137079404,0.9051075704461411,0.008490506387958324,16
1.5494099617004395,0.14224196071228762,0.14989242553710938,0.01607729507001398,True,balanced,20,sqrt,1,2,400,"OrderedDict([('bootstrap', True), ('class_weight', 'balanced'), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 1), ('min_samples_split', 2), ('n_estimators', 400)])",0.9190564248922424,0.9022836187407991,0.9159006319973227,0.9131602097935398,0.9084539280606342,0.8945928048770678,0.9081095315933468,0.8983599165543303,0.9076363860125963,0.8913143085138854,0.9058867761035765,0.00866463385299291,14
0.6279891729354858,0.04451276301944735,0.06799194812774659,0.007343472919354498,True,balanced,10,auto,4,5,200,"OrderedDict([('bootstrap', True), ('class_weight', 'balanced'), ('max_depth', 10), ('max_features', 'auto'), ('min_samples_leaf', 4), ('min_samples_split', 5), ('n_estimators', 200)])",0.9171582621065506,0.8941131377592274,0.9138430696725892,0.9070590434257841,0.9076797925119223,0.8895122164164646,0.9082815279969619,0.898518919900387,0.907807955944015,0.8938395530718081,0.9037813478805712,0.008753292316569433,19
1.981239628791809,0.11158777363703215,0.1338792085647583,0.011116924378111957,False,balanced_subsample,30,sqrt,4,5,400,"OrderedDict([('bootstrap', False), ('class_weight', 'balanced_subsample'), ('max_depth', 30), ('max_features', 'sqrt'), ('min_samples_leaf', 4), ('min_samples_split', 5), ('n_estimators', 400)])",0.9221584484841115,0.9000652904813543,0.9149375735546256,0.9069980241936503,0.904319391898118,0.8976060070637246,0.9135909231929974,0.8953735345840035,0.9138859000917762,0.8923960162304315,0.9061331109774793,0.009317180691187948,12
