features,scores
Area,12106.046094603076
Perimeter,13571.034478808766
MajorAxisLength,13811.838586777592
AspectRation,10508.820301934105
ConvexArea,12251.935447851292
EquivDiameter,12284.518500261722
Compactness,10309.66385279935
ShapeFactor2,10833.61948208637
